id,date,province,cumulative_recovered
501,2020-02-15,Quebec,-1
505,2020-07-04,Saskatchewan,88
509,2020-03-04,Saskatchewan,48
513,2020-03-30,Saskatchewan,14
517,2020-03-26,Saskatchewan,3
521,2020-03-22,Saskatchewan,0
525,2020-03-18,Saskatchewan,0
529,2020-03-14,Saskatchewan,0
533,2020-10-03,Saskatchewan,-1
537,2020-06-03,Saskatchewan,-1
541,2020-02-03,Saskatchewan,-1
545,2020-02-27,Saskatchewan,-1
549,2020-02-23,Saskatchewan,-1
553,2020-02-19,Saskatchewan,-1
557,2020-02-15,Saskatchewan,-1
561,2020-07-04,NWT,1
565,2020-03-04,NWT,1
569,2020-03-30,NWT,0
573,2020-03-26,NWT,0
577,2020-03-22,NWT,0
581,2020-03-18,NWT,-1
585,2020-03-14,NWT,-1
589,2020-10-03,NWT,-1
593,2020-06-03,NWT,-1
597,2020-02-03,NWT,-1
601,2020-02-27,NWT,-1
605,2020-02-23,NWT,-1
609,2020-02-19,NWT,-1
613,2020-02-15,NWT,-1
617,2020-07-04,Nunavut,-1
621,2020-03-04,Nunavut,-1
625,2020-03-30,Nunavut,-1
629,2020-03-26,Nunavut,-1
633,2020-03-22,Nunavut,-1
637,2020-03-18,Nunavut,-1
641,2020-03-14,Nunavut,-1
645,2020-10-03,Nunavut,-1
649,2020-06-03,Nunavut,-1
653,2020-02-03,Nunavut,-1
657,2020-02-27,Nunavut,-1
661,2020-02-23,Nunavut,-1
665,2020-02-19,Nunavut,-1
669,2020-02-15,Nunavut,-1
673,2020-07-04,Yukon,4
677,2020-03-04,Yukon,4
681,2020-03-30,Yukon,0
685,2020-03-26,Yukon,0
689,2020-03-22,Yukon,-1
693,2020-03-18,Yukon,-1
146,2020-05-03,Manitoba,-1
150,2020-01-03,Manitoba,-1
154,2020-02-26,Manitoba,-1
158,2020-02-22,Manitoba,-1
162,2020-02-18,Manitoba,-1
166,2020-02-14,Manitoba,-1
170,2020-06-04,New Brunswick,30
174,2020-02-04,New Brunswick,22
178,2020-03-29,New Brunswick,2
182,2020-03-25,New Brunswick,0
186,2020-03-21,New Brunswick,0
190,2020-03-17,New Brunswick,0
194,2020-03-13,New Brunswick,0
198,2020-09-03,New Brunswick,-1
202,2020-05-03,New Brunswick,-1
206,2020-01-03,New Brunswick,-1
210,2020-02-26,New Brunswick,-1
214,2020-02-22,New Brunswick,-1
218,2020-02-18,New Brunswick,-1
222,2020-02-14,New Brunswick,-1
226,2020-06-04,NL,32
230,2020-02-04,NL,10
234,2020-03-29,NL,4
238,2020-03-25,NL,0
242,2020-03-21,NL,0
246,2020-03-17,NL,0
250,2020-03-13,NL,-1
254,2020-09-03,NL,-1
258,2020-05-03,NL,-1
262,2020-01-03,NL,-1
266,2020-02-26,NL,-1
270,2020-02-22,NL,-1
274,2020-02-18,NL,-1
278,2020-02-14,NL,-1
282,2020-06-04,Nova Scotia,64
286,2020-02-04,Nova Scotia,16
290,2020-03-29,Nova Scotia,7
294,2020-03-25,Nova Scotia,2
298,2020-03-21,Nova Scotia,0
302,2020-03-17,Nova Scotia,0
306,2020-03-13,Nova Scotia,-1
310,2020-09-03,Nova Scotia,-1
314,2020-05-03,Nova Scotia,-1
318,2020-01-03,Nova Scotia,-1
322,2020-02-26,Nova Scotia,-1
326,2020-02-22,Nova Scotia,-1
330,2020-02-18,Nova Scotia,-1
334,2020-02-14,Nova Scotia,-1
338,2020-06-04,Ontario,1624
342,2020-02-04,Ontario,831
346,2020-03-29,Ontario,8
350,2020-03-25,Ontario,8
354,2020-03-21,Ontario,6
358,2020-03-17,Ontario,5
362,2020-03-13,Ontario,5
366,2020-09-03,Ontario,5
370,2020-05-03,Ontario,4
374,2020-01-03,Ontario,3
378,2020-02-26,Ontario,3
