id,date,region,transportation_type,value
2278,2020-03-22,Toronto,driving,33.22
2279,2020-03-23,Toronto,driving,40.23
2280,2020-03-24,Toronto,driving,41.8
2281,2020-03-25,Toronto,driving,38.72
2282,2020-03-26,Toronto,driving,38.27
2283,2020-03-27,Toronto,driving,42.98
2284,2020-03-28,Toronto,driving,33.08
2285,2020-03-29,Toronto,driving,29.21
2286,2020-03-30,Toronto,driving,37.13
2287,2020-03-31,Toronto,driving,38.83
2288,2020-04-01,Toronto,driving,40.44
2289,2020-04-02,Toronto,driving,40.35
2290,2020-04-03,Toronto,driving,42.83
2291,2020-04-04,Toronto,driving,35.54
2292,2020-04-05,Toronto,driving,29.32
2293,2020-04-06,Toronto,driving,38.66
2294,2020-04-07,Toronto,driving,38.99
2295,2020-04-08,Toronto,driving,41.18
2296,2020-04-09,Toronto,driving,45.08
2297,2020-04-10,Toronto,driving,32.74
2298,2020-04-11,Toronto,driving,38.54
2299,2020-04-12,Toronto,driving,26.97
2300,2020-04-13,Toronto,driving,35.85
2301,2020-01-13,Toronto,transit,100.0
2302,2020-01-14,Toronto,transit,102.39
2303,2020-01-15,Toronto,transit,100.57
2304,2020-01-16,Toronto,transit,99.41
2305,2020-01-17,Toronto,transit,105.64
2306,2020-01-18,Toronto,transit,85.0
2307,2020-01-19,Toronto,transit,73.17
2308,2020-01-20,Toronto,transit,96.55
2309,2020-01-21,Toronto,transit,98.78
2310,2020-01-22,Toronto,transit,104.07
2311,2020-01-23,Toronto,transit,102.69
2312,2020-01-24,Toronto,transit,109.45
2313,2020-01-25,Toronto,transit,90.8
2314,2020-01-26,Toronto,transit,74.47
2315,2020-01-27,Toronto,transit,93.65
2316,2020-01-28,Toronto,transit,97.32
2317,2020-01-29,Toronto,transit,96.71
2318,2020-01-30,Toronto,transit,100.49
2319,2020-01-31,Toronto,transit,107.06
2320,2020-02-01,Toronto,transit,93.93
2321,2020-02-02,Toronto,transit,72.93
2322,2020-02-03,Toronto,transit,94.87
2323,2020-02-04,Toronto,transit,97.41
2324,2020-02-05,Toronto,transit,94.07
2325,2020-02-06,Toronto,transit,93.59
2326,2020-02-07,Toronto,transit,101.27
2327,2020-02-08,Toronto,transit,91.5
2328,2020-02-09,Toronto,transit,76.8
2329,2020-02-10,Toronto,transit,94.28
2330,2020-02-11,Toronto,transit,96.37
2331,2020-02-12,Toronto,transit,96.55
2332,2020-02-13,Toronto,transit,105.34
2333,2020-02-14,Toronto,transit,106.43
2334,2020-02-15,Toronto,transit,91.48
2335,2020-02-16,Toronto,transit,78.1
2336,2020-02-17,Toronto,transit,74.57
2337,2020-02-18,Toronto,transit,105.01
2338,2020-02-19,Toronto,transit,102.06
2339,2020-02-20,Toronto,transit,106.04
2340,2020-02-21,Toronto,transit,119.23
2341,2020-02-22,Toronto,transit,102.69
2342,2020-02-23,Toronto,transit,82.78
2343,2020-02-24,Toronto,transit,96.38
2344,2020-02-25,Toronto,transit,97.42
2345,2020-02-26,Toronto,transit,91.14
2346,2020-02-27,Toronto,transit,91.91
2347,2020-02-28,Toronto,transit,101.46
2348,2020-02-29,Toronto,transit,96.0
2349,2020-03-01,Toronto,transit,78.23
2350,2020-03-02,Toronto,transit,96.47
2351,2020-03-03,Toronto,transit,99.29
2352,2020-03-04,Toronto,transit,101.12
2353,2020-03-05,Toronto,transit,108.56
2354,2020-03-06,Toronto,transit,101.25
2355,2020-03-07,Toronto,transit,94.85
2356,2020-03-08,Toronto,transit,78.97
2357,2020-03-09,Toronto,transit,95.76
2358,2020-03-10,Toronto,transit,91.15
2359,2020-03-11,Toronto,transit,89.65
2360,2020-03-12,Toronto,transit,82.3
2361,2020-03-13,Toronto,transit,74.08
2362,2020-03-14,Toronto,transit,59.03
2363,2020-03-15,Toronto,transit,48.41
2364,2020-03-16,Toronto,transit,47.04
2365,2020-03-17,Toronto,transit,37.11
2366,2020-03-18,Toronto,transit,33.01
2367,2020-03-19,Toronto,transit,30.24
2368,2020-03-20,Toronto,transit,28.79
2369,2020-03-21,Toronto,transit,25.4
2370,2020-03-22,Toronto,transit,21.74
2371,2020-03-23,Toronto,transit,23.54
2372,2020-03-24,Toronto,transit,21.81
2373,2020-03-25,Toronto,transit,20.07
2374,2020-03-26,Toronto,transit,19.2
2375,2020-03-27,Toronto,transit,19.66
2376,2020-03-28,Toronto,transit,16.75
2377,2020-03-29,Toronto,transit,16.95
2378,2020-03-30,Toronto,transit,19.42
2379,2020-03-31,Toronto,transit,19.68
2380,2020-04-01,Toronto,transit,19.09
2381,2020-04-02,Toronto,transit,18.95
2382,2020-04-03,Toronto,transit,17.91
2383,2020-04-04,Toronto,transit,16.0
2384,2020-04-05,Toronto,transit,15.7
2385,2020-04-06,Toronto,transit,17.75
2386,2020-04-07,Toronto,transit,16.62
2387,2020-04-08,Toronto,transit,16.59
