id,date,country,recovered
509,2020-04-14,Spain,2777
510,2020-04-14,United Kingdom,19
511,2020-04-14,France,1097
512,2020-04-14,US,4281
513,2020-04-15,Italy,962
514,2020-04-15,"Korea, South",82
515,2020-04-15,Spain,3349
516,2020-04-15,United Kingdom,45
517,2020-04-15,France,2372
518,2020-04-15,US,4333
519,2020-04-16,Italy,2072
520,2020-04-16,"Korea, South",141
521,2020-04-16,Spain,3944
522,2020-04-16,United Kingdom,7
523,2020-04-16,France,1857
524,2020-04-16,US,2607
525,2020-04-17,Italy,2563
526,2020-04-17,"Korea, South",72
527,2020-04-17,Spain,0
528,2020-04-17,United Kingdom,19
529,2020-04-17,France,1679
530,2020-04-17,US,3842
531,2020-04-18,Italy,2200
532,2020-04-18,"Korea, South",108
533,2020-04-18,Spain,0
534,2020-04-18,United Kingdom,20
535,2020-04-18,France,1581
536,2020-04-18,US,6295
537,2020-04-19,Italy,2128
538,2020-04-19,"Korea, South",105
539,2020-04-19,Spain,2560
540,2020-04-19,United Kingdom,22
541,2020-04-19,France,596
542,2020-04-19,US,5497
543,2020-04-20,Italy,1822
544,2020-04-20,"Korea, South",72
545,2020-04-20,Spain,3230
546,2020-04-20,United Kingdom,10
547,2020-04-20,France,853
548,2020-04-20,US,1992
549,2020-04-21,Italy,2723
550,2020-04-21,"Korea, South",99
551,2020-04-21,Spain,1927
552,2020-04-21,United Kingdom,192
553,2020-04-21,France,1783
554,2020-04-21,US,2875
555,2020-04-22,Italy,2943
556,2020-04-22,"Korea, South",64
557,2020-04-22,Spain,3401
558,2020-04-22,United Kingdom,45
559,2020-04-22,France,1507
560,2020-04-22,US,2162
561,2020-04-23,Italy,3033
562,2020-04-23,"Korea, South",224
563,2020-04-23,Spain,3335
564,2020-04-23,United Kingdom,29
565,2020-04-23,France,1436
566,2020-04-23,US,2837
567,2020-04-24,Italy,2922
568,2020-04-24,"Korea, South",134
569,2020-04-24,Spain,3105
570,2020-04-24,United Kingdom,12
571,2020-04-24,France,1509
572,2020-04-24,US,18876
573,2020-04-25,Italy,2622
574,2020-04-25,"Korea, South",82
575,2020-04-25,Spain,3353
576,2020-04-25,United Kingdom,50
577,2020-04-25,France,1101
578,2020-04-25,US,1293
579,2020-04-26,Italy,1808
580,2020-04-26,"Korea, South",47
581,2020-04-26,Spain,22019
582,2020-04-26,United Kingdom,4
583,2020-04-26,France,309
584,2020-04-26,US,6616
585,2020-04-27,Italy,1696
586,2020-04-27,"Korea, South",90
587,2020-04-27,Spain,3105
588,2020-04-27,United Kingdom,29
589,2020-04-27,France,612
590,2020-04-27,US,4436
591,2020-04-28,Italy,2317
592,2020-04-28,"Korea, South",68
593,2020-04-28,Spain,3071
594,2020-04-28,United Kingdom,6
595,2020-04-28,France,1482
596,2020-04-28,US,4512
597,2020-04-29,Italy,2311
598,2020-04-29,"Korea, South",137
599,2020-04-29,Spain,9026
600,2020-04-29,United Kingdom,44
601,2020-04-29,France,1343
602,2020-04-29,US,4784
603,2020-04-30,Italy,4693
604,2020-04-30,"Korea, South",13
605,2020-04-30,Spain,3103
606,2020-04-30,United Kingdom,2
607,2020-04-30,France,1262
608,2020-04-30,US,33227
609,2020-05-01,Italy,2304
610,2020-05-01,"Korea, South",51
611,2020-05-01,Spain,0
612,2020-05-01,United Kingdom,33
613,2020-05-01,France,744
614,2020-05-01,US,10068
615,2020-05-02,Italy,1665
616,2020-05-02,"Korea, South",60
617,2020-05-02,Spain,5198
618,2020-05-02,United Kingdom,4
619,2020-05-02,France,451
620,2020-05-02,US,11367
621,2020-05-03,Italy,1740
622,2020-05-03,"Korea, South",34
623,2020-05-03,Spain,1654
624,2020-05-03,United Kingdom,5
625,2020-05-03,France,222
626,2020-05-03,US,4770
